,-3671.9500000000003
Motor&Fuel7Brch-67,218.19
Others11Brch-607,218.3
Motor&Fuel7Brch-407,220.02
Motor&Fuel7Brch-408,228.13
Motor&Fuel7Brch-112,229.26999999999998
Motor&Fuel7Brch-261,230.0
Food&Beverage2Brch-97,231.84999999999997
Food&Beverage1Brch-229,232.77999999999997
Food&Beverage13Brch-72,232.99999999999997
Motor&Fuel7Brch-432,233.0
Food&Beverage13Brch-40,242.12000000000003
Motor&Fuel7Brch-406,243.1
Motor&Fuel7Brch-348,246.1
Food&Beverage13Brch-103,247.39999999999998
Motor&Fuel7Brch-90,249.74
Motor&Fuel7Brch-167,250.85999999999999
Food&Beverage13Brch-63,251.82000000000008
Food&Beverage13Brch-64,253.9000000000001
Others14Brch-7,254.0
Food&Beverage13Brch-107,254.51
BCARD10Brch-1,256.25
Motor&Fuel7Brch-191,257.45000000000005
Food&Beverage13Brch-34,258.0
Leisure&Recreation6Brch-2,262.9
Motor&Fuel7Brch-153,267.88999999999993
Motor&Fuel7Brch-85,267.94
Motor&Fuel7Brch-362,268.15999999999997
Food&Beverage2Brch-102,269.15000000000003
Motor&Fuel7Brch-381,269.39
Food&Beverage3Brch-27,269.75
Motor&Fuel7Brch-81,270.14
Food&Beverage13Brch-74,271.2000000000001
BCARD44Brch-12,272.9
Motor&Fuel7Brch-184,273.34000000000003
Motor&Fuel7Brch-424,276.34
Others11Brch-824,277.0
Motor&Fuel7Brch-83,278.01
Motor&Fuel7Brch-80,279.03
Food&Beverage13Brch-31,280.6000000000001
Food&Beverage14Brch-19,281.25999999999993
BCARD37Brch-69,282.7
Food&Beverage13Brch-104,284.00000000000006
Food&Beverage13Brch-99,285.70000000000005
Motor&Fuel7Brch-33,287.09999999999997
Motor&Fuel7Brch-309,287.44
BCARD48Brch-2,289.5
Food&Beverage13Brch-137,290.0
Food&Beverage1Brch-228,291.65
Motor&Fuel7Brch-143,291.85999999999996
Motor&Fuel7Brch-364,294.27
Motor&Fuel7Brch-411,294.77
Food&Beverage13Brch-9,297.80000000000007
Food&Beverage5Brch-13,297.9
Food&Beverage14Brch-5,301.42999999999995
Food&Beverage13Brch-85,302.7000000000001
Food&Beverage1Brch-226,302.78
Motor&Fuel7Brch-157,303.85
Food&Beverage13Brch-51,304.7
Motor&Fuel7Brch-393,309.6
Food&Beverage1Brch-223,309.96999999999997
Clubs2Brch-1,310.01
Food&Beverage2Brch-104,310.01
Motor&Fuel7Brch-57,315.66999999999996
BCARD37Brch-61,322.5
Motor&Fuel7Brch-101,327.51
Others9Brch-1004,331.04
Motor&Fuel7Brch-48,334.8
BCARD43Brch-6,339.0
Food&Beverage14Brch-2,342.43
BCARD37Brch-12,343.90999999999997
Motor&Fuel7Brch-120,345.51
Food&Beverage2Brch-83,347.05
BCARD40Brch-10,347.55999999999995
Leisure&Recreation10Brch-1,347.76
Food&Beverage13Brch-71,348.80000000000007
Others11Brch-844,349.20000000000005
